CHROMATOGRAM
D:\KP4_cells\20260221_Neg_FentonQC_PRM_1.raw
Data points: 5523
Time(min),Intensity
0.50770242,0
0.512229571,0
0.516755602,0
0.521281737,0
0.525807271,0
0.530334303,0
0.534860203,0
0.539386469,0
0.543912619,0
0.548440335,0
0.552966402,0
0.55749252,0
0.562018555,0
0.566544685,0
0.571070621,0
0.575580185,0
0.580089889,0
0.584599036,0
0.589108421,0
0.59361787,0
0.598126818,0
0.602636188,0
0.607146451,0
0.611655837,0
0.616165369,0
0.620678021,0
0.625190804,0
0.629704036,0
0.634217403,0
0.638730118,0
0.643243104,0
0.647755903,0
0.652269087,0
0.656781985,0
0.661294605,0
0.66580707,0
0.670318752,0
0.674831086,0
0.679343122,0
0.68385507,0
0.688366852,0
0.692879253,0
0.697390804,0
0.701902769,0
0.706414951,0
0.710926288,0
0.71543892,0
0.719950387,0
0.724461486,0
0.728973354,0
0.733484902,0
0.737996385,0
0.742507503,0
0.747018871,0
0.751531686,0
0.756042788,0
0.760553922,0
0.765065405,0
0.769576503,0
0.774087721,0
0.77859897,0
0.783109837,0
0.787621237,0
0.792132355,0
0.796644252,0
0.801154551,0
0.805665669,0
0.810176752,0
0.814687202,0
0.819198185,0
0.823708222,0
0.828218954,0
0.832729035,0
0.837240002,0
0.841749972,0
0.846261372,0
0.850770972,0
0.855280886,0
0.859791121,0
0.864301071,0
0.868811037,0
0.873321038,0
0.877830952,0
0.882340786,0
0.886851018,0
0.891361421,0
0.895872086,0
0.900383418,0
0.904894354,0
0.909404836,0
0.913915485,0
0.91842677,0
0.922937669,0
0.92744827,0
0.93195847,0
0.936471237,0
0.940982288,0
0.945493469,0
0.950004822,0
0.954516118,0
0.959027622,0
0.963539137,0
0.968050621,0
0.972561822,0
0.977073139,0
0.98158372,0
0.98609477,0
0.990605169,0
0.995115687,0
0.999626988,0
1.004137188,0
1.008648004,0
1.013158522,0
1.01766952,0
1.022180153,0
1.026693354,0
1.031205636,0
1.035718105,0
1.040230002,0
1.044742486,0
1.049254304,0
1.053766685,0
1.05827882,0
1.062791186,0
1.067303186,0
1.071813501,0
1.076323888,0
1.080834537,0
1.085344654,0
1.08985547,0
1.094365586,0
1.098875985,0
1.103386654,0
1.107896902,0
1.11240742,0
1.116918287,0
1.121430021,0
1.125941119,0
1.130452452,0
1.134963236,0
1.139474521,0
1.143985837,0
1.148496371,0
1.153007771,0
1.157519771,0
1.162030154,0
1.166540338,0
1.17105117,0
1.175561803,0
1.18007217,0
1.184582736,0
1.189093254,0
1.193604455,0
1.19811487,0
1.202626138,0
1.207136855,0
1.211647536,0
1.21615832,0
1.220670018,0
1.22518087,0
1.22969192,0
1.234202804,0
1.238713238,0
1.243224336,0
1.247734902,0
1.252245154,0
1.256755552,0
1.261265538,0
1.265776052,0
1.270286021,0
1.274796154,0
1.279307252,0
1.283816872,0
1.288327254,11597.634765625
1.292837403,0
1.297348254,0
1.301858888,0
1.306369719,0
1.310880619,0
1.315391622,0
1.319902255,0
1.324413655,0
1.328925269,0
1.333435636,0
1.337946571,0
1.342459036,10705.185546875
1.346971052,0
1.351482572,0
1.355994671,0
1.36050832,0
1.365020352,0
1.369532336,0
1.374044472,0
1.378556639,0
1.383068452,0
1.387578855,0
1.392088872,0
1.396599187,0
1.401109685,0
1.405619686,0
1.410129902,0
1.414640619,0
1.419150819,0
1.423661536,0
1.428171871,0
1.432683469,0
1.437194869,0
1.441706488,0
1.446217387,0
1.450728486,0
1.455239405,0
1.459750769,0
1.464261668,0
1.468772703,0
1.47328392,0
1.47779472,0
1.482306522,0
1.486817604,0
1.491328952,0
1.495839852,0
1.500351287,0
1.504862354,0
1.509373285,0
1.513884288,0
1.518395672,0
1.522906186,0
1.527416819,0
1.531928171,0
1.536438737,0
1.540949636,0
1.545461136,0
1.549972138,0
